 SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              140000 , clock=0 , reset=0 , req_floor=2 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=84 
 time=              145000 , clock=1 , reset=0 , req_floor=2 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=04 
 time=              150000 , clock=0 , reset=0 , req_floor=2 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=04 
 time=              155000 , clock=1 , reset=0 , req_floor=2 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=04 
 time=              160000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=44 
 time=              165000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=44 
 time=              170000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 1 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=2 , max_request=7 , requests=44 
 time=              175000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 1 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=04 
 time=              180000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 1 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=04 
 time=              185000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 1 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=04 
 time=              190000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=04 
 time=              195000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=2 , max_request=7 , requests=04 
 time=              200000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=06 
 time=              205000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=06 
 time=              210000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=06 
 time=              215000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=06 
 time=              220000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=06 
 time=              225000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=06 
 time=              230000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=06 
 time=              235000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=02 
 time=              240000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=02 
 time=              245000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=02 
 time=              250000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=7 , requests=02 
 time=              255000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=7 , requests=00 
 time=              260000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=7 , requests=00 
 time=              265000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=7 , requests=00 
 time=              270000 , clock=0 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=7 , requests=00 
 time=              275000 , clock=1 , reset=0 , req_floor=1 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=7 , requests=00 
 time=              280000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=5 , requests=20 
 time=              285000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=5 , requests=20 
