SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              135000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=1 , max_request=7 , requests=4a 
 time=              140000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=7 , min_request=1 , max_request=7 , requests=4a 
 time=              145000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=0a 
 time=              150000 , clock=0 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=0a 
 time=              155000 , clock=1 , reset=0 , req_floor=3 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=0a 
 time=              159000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=1a 
 time=              160000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=6 , min_request=1 , max_request=7 , requests=1a 
 time=              165000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=1a 
 time=              170000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=7 , requests=1a 
 time=              175000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=0a 
